編號,身份職業,AI使用頻率,付費AI經驗,對AI與Agent的態度,最想讓AI幫忙的工作,主要卡點（複選）,最想看的示範,課後最想帶走的東西（複選）
P14,教師兼系主任,每週幾次,自己付費,想導入成固定流程,把系務會議與課程規劃整理成正式文件,"資料太分散、不知道怎麼變成可重複的流程",把流程變成可重複的技能包,"能自己設計AI工作流、建立自己的知識庫、把重複工作交給AI的方法"
P15,大學專任教師（教育學院）,已固定用在工作流程中,自己付費,想導入成固定流程,把研究資料與課程資料整理成可重用素材,"資料太分散、不知道怎麼變成可重複的流程",把流程變成可重複的技能包,"能自己設計AI工作流、把重複工作交給AI的方法、建立自己的知識庫"
P16,國際暨兩岸事務處行政人員,每週幾次,使用學校或單位帳號,想直接省時間,把交換學生資料與活動資訊整理成公告,"資料太多、AI結果要一直改",活動資訊整理成企劃或公告,"行政常用案例、一套可照做的Agent工作流程"
P17,大學兼任講師,幾乎每天,自己付費,想導入成固定流程,把業界案例整理成上課教材,"不知道怎麼變成可重複的流程、資料太分散",把流程變成可重複的技能包,"能自己設計AI工作流、建立自己的知識庫、教師常用案例"
P18,圖書館行政人員,偶爾使用,使用學校或單位帳號,觀望但知道重要,把館藏推廣與活動資料整理成公告,"AI結果要一直改、資料太多",活動資訊整理成企劃或公告,"行政常用案例、建立自己的知識庫"
P19,大學專任教師（管理學院）,每週幾次,使用學校或單位帳號,想直接省時間,把課程滿意度問卷整理成教學改進建議,"資料太分散、不知道怎麼變成正式文件",訪談或問卷整理成洞察,"一套可照做的Agent工作流程、能自己設計AI工作流"
P20,教師兼學程主任,幾乎每天,使用學校或單位帳號,想學會怎麼判斷結果,把跨系課程資料整理成學程簡報,"資料太多、AI回答太空泛",資料整理成簡報,"建立自己的知識庫、能自己設計AI工作流、教師常用案例"
P21,大學專任教師（人文學院）,偶爾使用,只用免費版,觀望但知道重要,把上課講義與補充資料整理成教案,"不知道怎麼下指令、AI結果要一直改",課程資料整理成教案,"教師常用案例、可直接複製的提示詞"
P22,秘書室行政人員,每週幾次,使用學校或單位帳號,想直接省時間,把各處室會議資料整理成簽核公文,"擔心資料安全或個資、不知道怎麼變成正式文件",會議記錄整理,"行政常用案例、把重複工作交給AI的方法"
P23,大學專任教師（理工學院）,幾乎每天,自己付費,想導入成固定流程,把研究數據整理成研討會簡報,"AI結果要一直改、資料太多",資料整理成簡報,"能自己設計AI工作流、建立自己的知識庫"
P24,大學兼任講師,偶爾使用,只用免費版,想試試看能做什麼,把課程資料整理成投影片,"不知道怎麼下指令、AI回答太空泛",資料整理成簡報,"可直接複製的提示詞、一套可照做的Agent工作流程、AI工具選擇建議"
P25,進修推廣部行政人員,每週幾次,使用學校或單位帳號,想導入成固定流程,把招生課程資訊整理成宣傳文案,"AI結果要一直改、資料太分散",活動資訊整理成企劃或公告,"行政常用案例、建立自己的知識庫、能自己設計AI工作流"
P26,大學專任教師（教育學院）,每週幾次,自己付費,想學會怎麼判斷結果,把學生學習歷程整理成輔導紀錄,"擔心資料安全或個資、AI結果要一直改",訪談或問卷整理成洞察,"建立自己的知識庫、教師常用案例、AI工具選擇建議"
P27,大學專任教師（外語學院）,已固定用在工作流程中,自己付費,想導入成固定流程,把多語教材整理成分級課程簡報,"不知道怎麼變成可重複的流程、AI結果要一直改",把流程變成可重複的技能包,"能自己設計AI工作流、建立自己的知識庫、把重複工作交給AI的方法"
P28,課務組行政人員,偶爾使用,使用學校或單位帳號,觀望但知道重要,把排課與課程異動資料整理成通知,"資料太多、資料太分散、不知道怎麼變成正式文件",會議記錄整理,"行政常用案例、一套可照做的Agent工作流程"
P29,大學專任教師（管理學院）,每週幾次,只用免費版,想直接省時間,把產學合作資料整理成計畫書,"AI回答太空泛、不知道怎麼變成正式文件",研究資料整理成摘要,"一套可照做的Agent工作流程、建立自己的知識庫"
P30,大學專任教師（人文學院）,幾乎每天,自己付費,想導入成固定流程,把演講與活動資料整理成課程與公告,"不知道怎麼變成可重複的流程、資料太分散",把流程變成可重複的技能包,"能自己設計AI工作流、建立自己的知識庫、把重複工作交給AI的方法、教師常用案例"
